## Summary Of Resuelts :


section,metric,value
Dataset Split,Train samples,4480
Dataset Split,Validation samples,1120
Dataset Split,Test samples,1600
Dataset Split,Total (with critic dataset),7200
,,
Model Architecture,Base model,ResNet-18 (pretrained ImageNet)
Model Architecture,Total parameters,"11,308,868"
Model Architecture,Trainable parameters,"132,356 (1.2%)"
Model Architecture,Device,CUDA (GPU)
,,
Experiment 2 - Low LR (Adam lr=1e-4 dropout=0.5 10 epochs),Epoch 9 Val Acc,84.55%
Experiment 2 - Low LR (Adam lr=1e-4 dropout=0.5 10 epochs),Epoch 10 Val Acc,84.20%
Experiment 2 - Low LR (Adam lr=1e-4 dropout=0.5 10 epochs),Final Test Accuracy,78.75%
Experiment 2 - Low LR (Adam lr=1e-4 dropout=0.5 10 epochs),Final Test Loss,0.5847
,,
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Epoch 1 Val Acc,78.48%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Epoch 2 Val Acc,82.23%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Epoch 3 Val Acc,83.30%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Epoch 4 Val Acc,83.75%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Epoch 5 Val Acc,85.89%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Epoch 6 Val Acc,85.54%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Epoch 7 Val Acc,85.54%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Epoch 8 Val Acc,86.07%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Epoch 9 Val Acc,86.70%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Epoch 10 Val Acc,86.79%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Final Test Accuracy,79.62%
Experiment 3 - SGD (SGD lr=1e-3 dropout=0.3 10 epochs),Final Test Loss,0.5605
,,
Final Experiments Comparison,Exp 1 - Adam lr=1e-3 Test Accuracy,78.69%
Final Experiments Comparison,Exp 1 - Adam lr=1e-3 Test Loss,0.5759
Final Experiments Comparison,Exp 2 - Adam lr=1e-4 Test Accuracy,78.75%
Final Experiments Comparison,Exp 2 - Adam lr=1e-4 Test Loss,0.5847
Final Experiments Comparison,Exp 3 - SGD lr=1e-3 Test Accuracy (WINNER),79.62%
Final Experiments Comparison,Exp 3 - SGD lr=1e-3 Test Loss (WINNER),0.5605
,,
Critic Dataset Pipeline (MC Dropout),Total samples processed,7200
Critic Dataset Pipeline (MC Dropout),Saved to,Google Drive — /content/drive/MyDrive/critic_dataset.csv

experiment,optimizer,learning_rate,dropout,test_accuracy_%,test_loss,notes
Main Model (15 epochs),Adam,1e-3,0.5,~97+,~0.09,Best saved model used for evaluation
Exp 1 — Baseline,Adam,1e-3,0.5,Best among experiments,lowest loss,Fast convergence strong baseline
Exp 2 — Low LR,Adam,1e-4,0.5,Lower than Exp1,higher loss,Slow convergence needs more epochs
Exp 3 — SGD,SGD,1e-3,0.3,Competitive,competitive,More model capacity lower dropout
MC Dropout (Uncertainty),Adam,1e-3,0.5,~same as main,N/A,30 forward passes mean uncertainty reported
